Channel;Entropy
Fp1;0,001757563465025
Fz;0,044646344733120
F3;0,036840487361558
F7;0,006126985090661
FT9;0,020591483302700
FC5;0,033736250334510
FC1;0,218873930105569
C3;0,119741600810600
T7;0,099357738085140
TP9;0,141359268210966
CP5;0,297432483671629
CP1;0,638436248789506
Pz;0,060082707393127
P3;0,588691929515695
P7;0,245284839566051
O1;0,319943216811777
Oz;0,316782642350330
O2;0,284646555662852
P4;0,456450193428310
P8;0,128751571691804
TP10;0,128118430590983
CP6;0,243660352058721
CP2;0,648391467939691
Cz;0,416707227225650
C4;0,396276159980647
T8;0,042341488350444
FT10;0,023318142976594
FC6;0,055063308360273
FC2;0,186761559008593
F4;0,028720380004882
F8;0,005556282781818
Fp2;0,000896800370764
AF7;0,000720389698683
AF3;0,010024179252962
AFz;0,015050826558769
F1;0,044049712873761
F5;0,019370446511144
FT7;0,026643749859631
FC3;0,093393263028551
FCz;0,226005891784059
C1;0,505429165486868
C5;0,162514655235326
TP7;0,058137935683042
CP3;0,432383239541885
P1;0,528655687201597
P5;0,349338742192086
PO7;0,263722912025593
PO3;0,363136161043677
POz;0,164189242656249
PO4;0,443697184905102
PO8;0,108626875011618
P6;0,254513619946459
P2;0,551789078329698
CP4;0,465064473149800
TP8;0,089324731128205
C6;0,202353021796001
C2;0,517018606143018
FC4;0,119105576706011
FT8;0,018256269905912
F6;0,016372851175357
F2;0,044110112476781
AF4;0,012714584311898
AF8;0,001313166714899
