Channel;Entropy
Fp1;0,008854128521349
Fz;0,129682229352296
F3;0,013627184585362
F7;0,050903145092716
FT9;0,056859036129127
FC5;0,090558695430993
FC1;0,274745441771025
C3;0,421726871941816
T7;0,112279059086919
TP9;0,041894375416716
CP5;0,236030535410854
CP1;0,619904332845519
Pz;0,498477645613688
P3;0,282974872495671
P7;0,145444711786181
O1;0,095359242925946
Oz;0,087614078577561
O2;0,137249990215285
P4;0,117212594186210
P8;0,078061565260139
TP10;0,074169626931266
CP6;0,201283827638682
CP2;0,384561809679542
Cz;0,543339787373199
C4;0,219274976940592
T8;0,034473044561726
FT10;0,008147035265057
FC6;0,044368642628340
FC2;0,272919356663062
F4;0,043627483378131
F8;0,030242347383482
Fp2;0,008869763353863
AF7;0,012737926503847
AF3;0,022534299566465
AFz;0,003786455591385
F1;0,171027595721962
F5;0,095703027238989
FT7;0,074553838825062
FC3;0,265487652829298
FCz;0,296320791141902
C1;0,457618536510201
C5;0,247862551510792
TP7;0,233631210521572
CP3;0,510786929215150
P1;0,438512710002532
P5;0,195495479045291
PO7;0,119443033954252
PO3;0,202577708840793
POz;0,304865775233839
PO4;0,112282456446245
PO8;0,148024923535492
P6;0,149758156982554
P2;0,061336218705452
CP4;0,378728817214164
TP8;0,078739197664038
C6;0,152768374350009
C2;0,423307462943478
FC4;0,145480486532065
FT8;0,078573209505464
F6;0,034779109517445
F2;0,131453435568126
AF4;0,017955846828597
AF8;0,010353871068847
