Channel;Entropy
Fp1;0,000000000000000
Fz;0,015272730106868
F3;0,009804969845620
F7;0,018975402904561
FT9;0,083959657846021
FC5;0,029087518686987
FC1;0,032909916012927
C3;0,554105113866734
T7;0,340503053248835
TP9;0,155010547352080
CP5;0,625737545324768
CP1;1,146364383409112
Pz;0,689020462891768
P3;0,437432897823648
P7;0,255748281965865
O1;0,296662905789129
Oz;0,272952704314125
O2;0,273559592889418
P4;0,465001877637156
P8;0,259823637734568
TP10;0,094742684558385
CP6;0,557553002639045
CP2;0,860885224984002
Cz;0,249762330794143
C4;0,540698310105652
T8;0,274409840471541
FT10;0,058024486999877
FC6;0,122005566953616
FC2;0,032178072452914
F4;0,017001362531949
F8;0,039626120516625
Fp2;0,000000000000000
AF7;0,000001742337757
AF3;0,000009982502126
AFz;0,000041805666808
F1;0,014521344189399
F5;0,009934242220300
FT7;0,165867912611598
FC3;0,043158901919778
FCz;0,025840294013444
C1;0,486404405605912
C5;0,428364034789406
TP7;0,302141011862525
CP3;0,855010909232545
P1;0,781407606540188
P5;0,534463886051910
PO7;0,316222620178225
PO3;0,468576401135704
POz;0,433576338651164
PO4;0,322395227959186
PO8;0,275690246658001
P6;0,446482279266479
P2;0,688795260220613
CP4;0,838153645004059
TP8;0,238861134116054
C6;0,425876069783165
C2;0,362770351596576
FC4;0,038678725327420
FT8;0,190324844802131
F6;0,020287592788282
F2;0,014806011924085
AF4;0,000020909855328
AF8;0,000010980780938
