Channel;Entropy
Fp1;0,000000181492439
Fz;0,012708309138839
F3;0,014485140322811
F7;0,003492364255828
FT9;0,008808383274412
FC5;0,040122845138725
FC1;0,088834424952499
C3;0,369715375647549
T7;0,078155863572324
TP9;0,026537002385520
CP5;0,310098956569046
CP1;1,059581221624654
Pz;0,834903445920271
P3;0,397764407645830
P7;0,170586871158209
O1;0,215180580327016
Oz;0,257392557444480
O2;0,209819180112281
P4;0,641402704736735
P8;0,262113926751969
TP10;0,165184483802373
CP6;0,460426852683097
CP2;0,725816150293551
Cz;2,533553194666579
C4;0,354907427763536
T8;0,123085153942840
FT10;0,036822471906107
FC6;0,026126808018822
FC2;0,072555818243236
F4;0,011998496398125
F8;0,008881782297969
Fp2;0,000029442431327
AF7;0,000221291444797
AF3;0,003399546886343
AFz;0,004521570790004
F1;0,000074667494815
F5;0,014419843068601
FT7;0,021564188988324
FC3;0,108755791620291
FCz;0,055866121532541
C1;0,564331213242082
C5;0,178990523832885
TP7;0,145480058162011
CP3;0,595277163219905
P1;0,793001747051608
P5;0,354318255343298
PO7;0,172463498797262
PO3;0,405604384545332
POz;0,432402035689979
PO4;0,420834687752252
PO8;0,195406144443062
P6;0,425979320513329
P2;0,639802675352647
CP4;0,726494285752528
TP8;0,281634972532651
C6;0,177046146351230
C2;0,541699817390474
FC4;0,072401963977433
FT8;0,027270426218106
F6;0,008979825120918
F2;0,012716942995252
AF4;0,003479475914230
AF8;0,000072331518474
