Channel;Entropy
Fp1;0,000000000000000
Fz;0,028658710830313
F3;0,019898045650799
F7;0,001055517747478
FT9;0,015907838534201
FC5;0,000577485842966
FC1;0,071176007615833
C3;0,122869756650383
T7;0,096392483379516
TP9;0,083886779349989
CP5;0,313544105502746
CP1;1,182145401281409
Pz;0,762171964209517
P3;0,667106625487389
P7;0,227164329058933
O1;0,158692486409607
Oz;0,172543502492102
O2;0,163094793522927
P4;0,447625610849244
P8;0,127576734894628
TP10;0,004462806931455
CP6;0,271471646981702
CP2;0,673160021282044
Cz;0,725516291126008
C4;0,332060589457730
T8;0,057794520390922
FT10;0,018673544974425
FC6;0,056290614939352
FC2;0,123653445715431
F4;0,027493650705358
F8;0,011619465729773
Fp2;0,000000000000000
AF7;0,000000000000000
AF3;0,001050051077357
AFz;0,008378554917003
F1;0,026837617927765
F5;0,008731382213387
FT7;0,007374636126505
FC3;0,039520843606299
FCz;0,108886039939952
C1;0,334522557538774
C5;0,112452495632731
TP7;0,140836602473541
CP3;0,498414384228125
P1;0,820543054621421
P5;0,401511490452726
PO7;0,121218866545459
PO3;0,319099480236762
POz;0,346603487638556
PO4;0,261843865202929
PO8;0,116277983006819
P6;0,259589622142106
P2;0,235035554997890
CP4;0,569322156433276
TP8;0,133686932073678
C6;0,068312761508470
C2;0,481511288852058
FC4;0,090119777931214
FT8;0,030502082988349
F6;0,010920516158402
F2;0,030170415686317
AF4;0,005046270535098
AF8;0,000173952923313
