Channel;Entropy
Fp1;0,003953376973878
Fz;0,034285862122776
F3;0,029309818163786
F7;0,006682349433771
FT9;0,004097458009477
FC5;0,094910536344498
FC1;0,292123798888607
C3;0,456900266160646
T7;0,092452662964092
TP9;0,004096344174273
CP5;0,315631201793417
CP1;1,345033682014138
Pz;0,841306851622949
P3;0,563621051796104
P7;0,248913736531216
O1;0,238377962777923
Oz;0,281420017664874
O2;0,255584943347123
P4;0,465926118096986
P8;0,245151454358884
TP10;0,154832522098602
CP6;0,370064767849879
CP2;1,371134135674907
Cz;0,858727801729527
C4;0,229227082236139
T8;0,077914351737045
FT10;0,001185119472898
FC6;0,011871390122897
FC2;0,173460000916374
F4;0,011363008013588
F8;0,001306544948380
Fp2;0,003119913896681
AF7;0,005774118257088
AF3;0,008386676567381
AFz;0,007180794125929
F1;0,045351441127816
F5;0,027967072909349
FT7;0,039249032838429
FC3;0,199309693056602
FCz;0,217179026620754
C1;0,876766714981866
C5;0,211476673258426
TP7;0,195269038825264
CP3;0,596458977765157
P1;0,853780298777680
P5;0,363592748657172
PO7;0,243461036710167
PO3;0,386761341389982
POz;0,493122404677072
PO4;0,334277788501491
PO8;0,255864263612428
P6;0,420714695750843
P2;0,965834211231680
CP4;0,594251435170632
TP8;0,208370824793646
C6;0,079510850686941
C2;0,774766795839044
FC4;0,034501412072711
FT8;0,023576341326680
F6;0,006035667452874
F2;0,023847786427599
AF4;0,005327837043840
AF8;0,001622018717395
