Channel;Entropy
Fp1;0,011434937166035
Fz;0,128671483021983
F3;0,011993277671043
F7;0,077471890127243
FT9;0,089667156688181
FC5;0,147616965124006
FC1;0,295693284621284
C3;0,472963888894659
T7;0,200401552085524
TP9;0,041210950175744
CP5;0,369366052223083
CP1;0,747158306372447
Pz;0,543791873477832
P3;0,404574572637737
P7;0,241356048600057
O1;0,144544465000785
Oz;0,111351373103764
O2;0,204593954215596
P4;0,170203175031685
P8;0,119907890716152
TP10;0,134766507392788
CP6;0,182031821006460
CP2;0,374574924615764
Cz;0,603303227752293
C4;0,147070835525820
T8;0,027538876201180
FT10;0,056364654673752
FC6;0,056156442151157
FC2;0,248862612413735
F4;0,062932883796234
F8;0,045828131550630
Fp2;0,011426280327268
AF7;0,014729319717717
AF3;0,016410076437574
AFz;0,000933717433488
F1;0,154051862277253
F5;0,090246539535874
FT7;0,103397477119522
FC3;0,281363153499878
FCz;0,311518577282007
C1;0,446829150794795
C5;0,311593693405269
TP7;0,325230355953399
CP3;0,656811491254432
P1;0,555177145784569
P5;0,330372877553965
PO7;0,195288874734216
PO3;0,292932117538759
POz;0,403808099100345
PO4;0,140318750309293
PO8;0,196410915682103
P6;0,148496982686918
P2;0,042453072357026
CP4;0,458537289884239
TP8;0,101224677941263
C6;0,199654762400647
C2;0,467125776417921
FC4;0,130078257313368
FT8;0,099448519750069
F6;0,025236926255306
F2;0,099360566962051
AF4;0,017831856127001
AF8;0,012634770163356
